Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,9060.0
Tanggal:,2023-08-01-2023-08-31,,Jumlah transaksi:,47,Jumlah transaksi:,14,,Akhir:,0.0
,,,Total:,6226536.0,Total:,6235596.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo
2023-08-31 21:15,Bank,-1664015.0,Penarikan Dana,Transaksi Selesai,0.0
2023-08-31 21:11,Saldo Penjual,51692.0,Penghasilan dari Pesanan #230828TG96TW3W,,1664015.0
2023-08-31 21:00,Saldo Penjual,1579959.0,Penghasilan dari Pesanan #2308314DC5PNSD,,1612323.0
2023-08-31 16:07,Saldo Penjual,16182.0,Penghasilan dari Pesanan #2308301WADQQBC,,32364.0
2023-08-30 19:42,Saldo Penjual,16182.0,Penghasilan dari Pesanan #230829VD2MSHR8,,16182.0
2023-08-30 19:23,Bank,-45540.0,Penarikan Dana,Transaksi Selesai,0.0
2023-08-30 17:35,Saldo Penjual,9826.0,Penghasilan dari Pesanan #230828T5TSN0EJ,,45540.0
2023-08-30 08:14,Saldo Penjual,9058.0,Penghasilan dari Pesanan #230824GW6GS14B,,35714.0
2023-08-29 20:15,Saldo Penjual,18116.0,Penghasilan dari Pesanan #230828SWDH6QD2,,26656.0
2023-08-29 02:48,Saldo Penjual,8540.0,Penghasilan dari Pesanan #230823DCREPTVT,,8540.0
2023-08-28 19:03,Bank,-888486.0,Penarikan Dana,Transaksi Selesai,0.0
2023-08-28 18:46,Saldo Penjual,407609.0,Penghasilan dari Pesanan #230824GYRFB6Y4,,888486.0
2023-08-28 18:45,Saldo Penjual,407609.0,Penghasilan dari Pesanan #230824H00VA4U0,,480877.0
2023-08-28 14:58,Saldo Penjual,21576.0,Penghasilan dari Pesanan #230827RFM6Y7W8,,73268.0
2023-08-27 13:06,Saldo Penjual,51692.0,Penghasilan dari Pesanan #230825J0NBRJBU,,51692.0
2023-08-27 09:14,Bank,-123612.0,Penarikan Dana,Transaksi Selesai,0.0
2023-08-27 06:26,Saldo Penjual,111476.0,Penghasilan dari Pesanan #230823DA0316WD,,123612.0
2023-08-25 23:35,Saldo Penjual,12136.0,Penghasilan dari Pesanan #230824FJH70GGS,,12136.0
2023-08-25 18:55,Bank,-143465.0,Penarikan Dana,Transaksi Selesai,0.0
2023-08-25 16:03,Saldo Penjual,10863.0,Penghasilan dari Pesanan #230824FQY8FHUJ,,143465.0
2023-08-25 13:56,Saldo Penjual,29217.0,Penghasilan dari Pesanan #230822APTJ718N,,132602.0
2023-08-25 07:20,Saldo Penjual,103385.0,Penghasilan dari Pesanan #230821768N4BG8,,103385.0
2023-08-24 20:40,Bank,-872080.0,Penarikan Dana,Transaksi Selesai,0.0
2023-08-24 20:38,Saldo Penjual,521740.0,Penghasilan dari Pesanan #230822BUWF97DE,,872080.0
2023-08-24 12:09,Saldo Penjual,350340.0,Penghasilan dari Pesanan #2308218KX5CKT9,,350340.0
2023-08-23 06:09,Bank,-250673.0,Penarikan Dana,Transaksi Selesai,0.0
2023-08-23 03:21,Saldo Penjual,5618.0,Penghasilan dari Pesanan #230817VMPU7DSR,,250673.0
2023-08-23 02:45,Saldo Penjual,2247.0,Penghasilan dari Pesanan #230817VM3YJNB2,,245055.0
2023-08-22 21:55,Saldo Penjual,242808.0,Penghasilan dari Pesanan #2308206Y21NF6Q,,242808.0
2023-08-22 19:47,Bank,-1038500.0,Penarikan Dana,Transaksi Selesai,0.0
2023-08-22 19:42,Saldo Penjual,521856.0,Penghasilan dari Pesanan #230816T5SDTUAC,,1038500.0
2023-08-22 19:42,Saldo Penjual,505856.0,Penghasilan dari Pesanan #230816T6URF5U1,,516644.0
2023-08-22 16:52,Saldo Penjual,5394.0,Penghasilan dari Pesanan #2308206SRE9BHH,,10788.0
2023-08-22 02:54,Saldo Penjual,5394.0,Penghasilan dari Pesanan #230818VVXGDD1N,,5394.0
2023-08-21 16:43,Bank,-394210.0,Penarikan Dana,Transaksi Selesai,0.0
2023-08-21 15:03,Saldo Penjual,51692.0,Penghasilan dari Pesanan #230817U7B01RAW,,394210.0
2023-08-20 23:37,Saldo Penjual,84056.0,Penghasilan dari Pesanan #230817VP4PVJ55,,342518.0
2023-08-19 06:28,Saldo Penjual,51692.0,Penghasilan dari Pesanan #230814K9AE8D05,,258462.0
2023-08-18 10:51,Saldo Penjual,206770.0,Penghasilan dari Pesanan #230816RPGJD79E,,206770.0
2023-08-18 05:45,Bank,-53912.0,Penarikan Dana,Transaksi Selesai,0.0
2023-08-18 04:37,Saldo Penjual,31257.0,Penghasilan dari Pesanan #230816RHAQ8T3Q,,53912.0
2023-08-18 00:31,Saldo Penjual,16182.0,Penghasilan dari Pesanan #230816QWEM0A30,,22655.0
2023-08-17 18:17,Saldo Penjual,6473.0,Penghasilan dari Pesanan #230816RGTN78G5,,6473.0
2023-08-17 08:10,Bank,-364994.0,Penarikan Dana,Transaksi Selesai,0.0
2023-08-16 16:36,Saldo Penjual,168113.0,Penghasilan dari Pesanan #230811DFH1YD45,,364994.0
2023-08-16 11:51,Saldo Penjual,169911.0,Penghasilan dari Pesanan #230812FUFG0EU8,,196881.0
2023-08-16 07:30,Saldo Penjual,26970.0,Penghasilan dari Pesanan #230813HHC54NC5,,26970.0
2023-08-16 06:52,Bank,-27739.0,Penarikan Dana,Transaksi Selesai,0.0
2023-08-15 10:50,Saldo Penjual,27739.0,Penghasilan dari Pesanan #230811D0RGH2SG,,27739.0
2023-08-10 13:07,Bank,-117704.0,Penarikan Dana,Transaksi Selesai,0.0
2023-08-10 03:40,Saldo Penjual,105183.0,Penghasilan dari Pesanan #230803NMNUVBNM,,117704.0
2023-08-08 06:06,Saldo Penjual,3461.0,Penghasilan dari Pesanan #230801H32443MP,,12521.0
2023-08-07 17:58,Saldo Penjual,9060.0,Penghasilan dari Pesanan #230802KU0H9XJX,,9060.0
2023-08-07 00:43,Bank,-250666.0,Penarikan Dana,Transaksi Selesai,0.0
2023-08-06 07:24,Saldo Penjual,7551.0,Penghasilan dari Pesanan #230801HG9C75R6,,250666.0
2023-08-05 20:53,Saldo Penjual,10788.0,Penghasilan dari Pesanan #230803NDV4CG9B,,243115.0
