Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,0.0
Tanggal:,2024-02-01-2024-02-29,,Jumlah transaksi:,63,Jumlah transaksi:,19,,Akhir:,0.0
,,,Total:,5777107.0,Total:,5777107.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo,
2024-02-29 21:38,Bank,-28511.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-02-29 02:42,Saldo Penjual,28511.0,Penghasilan dari Pesanan #240224D0DGKJN9,,28511.0,
2024-02-28 20:14,Bank,-109675.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-02-28 14:06,Saldo Penjual,79237.0,Penghasilan dari Pesanan #240224DBK4RN1D,,109675.0,
2024-02-28 13:46,Saldo Penjual,11012.0,Penghasilan dari Pesanan #240225EEN9EK2E,,30438.0,
2024-02-28 13:06,Saldo Penjual,19426.0,Penghasilan dari Pesanan #240225FUE199SX,,19426.0,
2024-02-27 22:25,Bank,-181359.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-02-27 18:09,Saldo Penjual,127701.0,Penghasilan dari Pesanan #240224D24F6PJV,,181359.0,
2024-02-27 05:26,Saldo Penjual,53658.0,Penghasilan dari Pesanan #2402228DWX475E,,53658.0,
2024-02-26 20:55,Bank,-292465.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-02-26 12:04,Saldo Penjual,52816.0,Penghasilan dari Pesanan #2402228E1YT6YH,,292465.0,
2024-02-25 03:05,Saldo Penjual,103782.0,Penghasilan dari Pesanan #240219VG58GG9G,,239649.0,
2024-02-25 02:19,Saldo Penjual,32350.0,Penghasilan dari Pesanan #2402214FHFX3R9,,135867.0,
2024-02-24 23:51,Saldo Penjual,103517.0,Penghasilan dari Pesanan #2402227WS0NHBU,,103517.0,
2024-02-24 22:49,Bank,-77668.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-02-24 19:30,Saldo Penjual,40522.0,Penghasilan dari Pesanan #240221558801HS,,77668.0,
2024-02-24 15:11,Saldo Penjual,37146.0,Penghasilan dari Pesanan #240215KNN9GC8F,,37146.0,
2024-02-23 21:49,Bank,-276451.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-02-23 04:04,Saldo Penjual,37618.0,Penghasilan dari Pesanan #240216PQJJ2KDB,,276451.0,
2024-02-23 04:03,Saldo Penjual,3077.0,Penghasilan dari Pesanan #240217SAA7G0CP,,238833.0,
2024-02-23 03:24,Saldo Penjual,202630.0,Penghasilan dari Pesanan #240218U3KGQWQ6,,235756.0,
2024-02-23 02:42,Saldo Penjual,19274.0,Penghasilan dari Pesanan #240218V3KQN8EE,,33126.0,
2024-02-22 16:17,Saldo Penjual,13852.0,Penghasilan dari Pesanan #240215MFM353TB,,13852.0,
2024-02-22 15:14,Bank,-247909.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-02-22 02:37,Saldo Penjual,789.0,Penghasilan dari Pesanan #240216PM1EV32S,,247909.0,
2024-02-22 02:35,Saldo Penjual,247120.0,Penghasilan dari Pesanan #240217RYQF2AJE,,247120.0,
