Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,0.0
Tanggal:,2023-11-01-2023-11-30,,Jumlah transaksi:,5,Jumlah transaksi:,3,,Akhir:,0.0
,,,Total:,17064500.0,Total:,17064500.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo,
2023-11-24 10:42,Bank,-1311375.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-11-18 17:42,Saldo Penjual,139350.0,Penghasilan dari Pesanan #231115N0R39K5Y,,1311375.0,
2023-11-18 06:37,Saldo Penjual,1172025.0,Penghasilan dari Pesanan #231114JKWUD9DV,,1172025.0,
2023-11-15 13:06,Bank,-2690900.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-11-14 10:57,Saldo Penjual,92900.0,Penghasilan dari Pesanan #231111B8JBNJEB,,2690900.0,
2023-11-12 18:33,Saldo Penjual,2598000.0,Penghasilan dari Pesanan #2311108M8K3SEE,,2598000.0,
2023-11-07 08:28,Bank,-13062225.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-11-06 12:33,Saldo Penjual,13062225.0,Penghasilan dari Pesanan #231101EM44MB2F,,13062225.0,
