Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,990.0
Tanggal:,2020-08-01-2020-08-31,,Jumlah transaksi:,16,Jumlah transaksi:,0,,Akhir:,143985.0
,,,Total:,142995.0,Total:,0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo
2020-08-30 04:17,Saldo Penjual,99.0,Penghasilan dari Pesanan #200824V9ADNHCH,,143985.0
2020-08-30 04:03,Saldo Penjual,99.0,Penghasilan dari Pesanan #2008251RT5VUKY,,143886.0
2020-08-30 03:41,Saldo Penjual,99.0,Penghasilan dari Pesanan #2008251927AYH4,,143787.0
2020-08-29 16:02,Saldo Penjual,572.0,Penghasilan dari Pesanan #2008276G88UT8X,,143688.0
2020-08-28 04:27,Saldo Penjual,99.0,Penghasilan dari Pesanan #200821MS1GCDNC,,143116.0
2020-08-27 18:22,Saldo Penjual,99.0,Penghasilan dari Pesanan #200824V84V2282,,143017.0
2020-08-26 12:44,Saldo Penjual,50943.0,Penghasilan dari Pesanan #200822P4382QEG,,142918.0
2020-08-25 20:02,Saldo Penjual,99.0,Penghasilan dari Pesanan #200823SWRHFKAQ,,91975.0
2020-08-21 03:56,Saldo Penjual,99.0,Penghasilan dari Pesanan #2008153H93NTXA,,91876.0
2020-08-20 03:42,Saldo Penjual,12990.0,Penghasilan dari Pesanan #2008167BYXNM5K,,91777.0
2020-08-19 18:30,Saldo Penjual,39250.0,Penghasilan dari Pesanan #2008179VJQ4CSB,,78787.0
2020-08-10 20:08,Saldo Penjual,28750.0,Penghasilan dari Pesanan #200808F9VUEAHV,,39537.0
2020-08-08 03:19,Saldo Penjual,99.0,Penghasilan dari Pesanan #2008033PU8BBJP,,10787.0
2020-08-06 09:45,Saldo Penjual,9500.0,Penghasilan dari Pesanan #20080346F0DPA2,,10688.0
2020-08-06 04:22,Saldo Penjual,99.0,Penghasilan dari Pesanan #200801VXSCMCKM,,1188.0
2020-08-06 04:02,Saldo Penjual,99.0,Penghasilan dari Pesanan #200801VJXQHCE9,,1089.0
