Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,197004.0
Tanggal:,2020-11-01-2020-11-30,,Jumlah transaksi:,11,Jumlah transaksi:,3,,Akhir:,350.0
,,,Total:,354420.0,Total:,551074.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo
2020-11-28 04:44,Saldo Penjual,175.0,Penghasilan dari Pesanan #201123RBWSTB94,,350.0
2020-11-28 03:06,Saldo Penjual,175.0,Penghasilan dari Pesanan #201123R9B59CX2,,175.0
2020-11-25 10:07,Bank,-57500.0,Penarikan Dana,Transaksi Selesai,0.0
2020-11-23 05:00,Saldo Penjual,57500.0,Penghasilan dari Pesanan #201120F176G57T,,57500.0
2020-11-22 07:50,Bank,-296570.0,Penarikan Dana,Transaksi Selesai,0.0
2020-11-20 16:30,Saldo Penjual,175.0,Penghasilan dari Pesanan #2011189MBMMMPC,,296570.0
2020-11-19 07:43,Saldo Penjual,47470.0,Penghasilan dari Pesanan #2011166HPEA9M8,,296395.0
2020-11-15 08:04,Saldo Penjual,20750.0,Penghasilan dari Pesanan #201111P3CEHC9Y,,248925.0
2020-11-14 18:12,Saldo Penjual,29000.0,Penghasilan dari Pesanan #201111PWWGDQUV,,228175.0
2020-11-14 16:03,Saldo Penjual,33350.0,Penghasilan dari Pesanan #201111QCCERWJ0,,199175.0
2020-11-14 14:36,Saldo Penjual,146000.0,Penghasilan dari Pesanan #201111QHF72RRK,,165825.0
2020-11-13 19:30,Saldo Penjual,15450.0,Penghasilan dari Pesanan #201111N5TPEUJS,,19825.0
2020-11-13 18:02,Saldo Penjual,4375.0,Penghasilan dari Pesanan #201112R98C2PJC,,4375.0
2020-11-10 23:44,Bank,-197004.0,Penarikan Dana,Transaksi Selesai,0.0
