Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,0.0
Tanggal:,2024-01-01-2024-01-31,,Jumlah transaksi:,52,Jumlah transaksi:,21,,Akhir:,0.0
,,,Total:,5190795.0,Total:,5190795.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo,
2024-01-31 21:38,ShopeePay,-60029.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-01-31 18:37,Saldo Penjual,9372.0,Penghasilan dari Pesanan #240126VATWBC14,,60029.0,
2024-01-31 14:13,Saldo Penjual,50657.0,Penghasilan dari Pesanan #2401295EXBXF86,,50657.0,
2024-01-30 22:01,Bank,-130491.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-01-30 04:24,Saldo Penjual,84576.0,Penghasilan dari Pesanan #240123KMT2SU93,,130491.0,
2024-01-30 03:45,Saldo Penjual,45915.0,Penghasilan dari Pesanan #240125RXY203R0,,45915.0,
2024-01-29 21:25,Bank,-575141.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-01-29 19:30,Saldo Penjual,41150.0,Penghasilan dari Pesanan #2401270X1T66GF,,575141.0,
2024-01-28 20:54,Saldo Penjual,27416.0,Penghasilan dari Pesanan #240126U5V20QG1,,533991.0,
2024-01-28 04:47,Saldo Penjual,506575.0,Penghasilan dari Pesanan #240123KPDQGKP6,,506575.0,
2024-01-27 22:47,Bank,-65890.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-01-27 19:24,Saldo Penjual,42863.0,Penghasilan dari Pesanan #240124P3XGBTKB,,65890.0,
2024-01-27 04:20,Saldo Penjual,23027.0,Penghasilan dari Pesanan #240123M0FEEBCS,,23027.0,
2024-01-26 21:14,Bank,-377320.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-01-26 18:43,Saldo Penjual,376231.0,Penghasilan dari Pesanan #240124PQKV06UC,,377320.0,
2024-01-25 14:15,Saldo Penjual,1089.0,Penghasilan dari Pesanan #240121F5CWDQS6,,1089.0,
2024-01-24 23:08,Bank,-118935.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-01-24 21:44,Saldo Penjual,118935.0,Penghasilan dari Pesanan #240122H9EEJQDQ,,118935.0,
2024-01-22 20:45,Bank,-235479.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-01-22 13:07,Saldo Penjual,213200.0,Penghasilan dari Pesanan #240115VPUYQKM9,,235479.0,
2024-01-21 15:12,Saldo Penjual,22279.0,Penghasilan dari Pesanan #2401198JC28GQK,,22279.0,
2024-01-20 18:33,Bank,-59467.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-01-20 10:01,Saldo Penjual,59467.0,Penghasilan dari Pesanan #2401174MNFYQ4R,,59467.0,
2024-01-19 21:18,Bank,-689834.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-01-19 21:11,Saldo Penjual,59551.0,Penghasilan dari Pesanan #2401186UN4VAJG,,689834.0,
2024-01-19 20:10,Saldo Penjual,70551.0,Penghasilan dari Pesanan #24011747R3JPED,,630283.0,
