Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,0.0
Tanggal:,2023-10-01-2023-10-31,,Jumlah transaksi:,6,Jumlah transaksi:,6,,Akhir:,0.0
,,,Total:,34826000.0,Total:,34826000.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo,
2023-10-28 12:33,Bank,-12500000.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-28 12:33,Saldo Penjual,12500000.0,Penghasilan dari Pesanan #23102601B9XREU,,12500000.0,
2023-10-20 11:07,Bank,-8271000.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-20 07:24,Saldo Penjual,8271000.0,Penghasilan dari Pesanan #2310163W3KVQHW,,8271000.0,
2023-10-18 15:19,Bank,-7700000.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-18 14:58,Saldo Penjual,7700000.0,Penghasilan dari Pesanan #231013TCV870V2,,7700000.0,
2023-10-13 21:48,Bank,-2115000.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-11 05:29,Saldo Penjual,2115000.0,Penghasilan dari Pesanan #2310055NNR44UV,,2115000.0,
2023-10-07 09:24,Bank,-3000000.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-07 07:53,Saldo Penjual,3000000.0,Penghasilan dari Pesanan #23100553G1CFQV,,3000000.0,
2023-10-05 12:16,Bank,-1240000.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-05 12:10,Saldo Penjual,1240000.0,Penghasilan dari Pesanan #23100316G06X5A,,1240000.0,
