Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,0.0
Tanggal:,2020-07-01-2020-07-31,,Jumlah transaksi:,17,Jumlah transaksi:,2,,Akhir:,990.0
,,,Total:,301231.0,Total:,300241.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo
2020-07-31 20:08,Saldo Penjual,990.0,Penghasilan dari Pesanan #200726D712HCGQ,,990.0
2020-07-30 18:53,Bank,-247946.0,Penarikan Dana,Transaksi Selesai,0.0
2020-07-28 07:10,Saldo Penjual,103250.0,Penghasilan dari Pesanan #20072590NWRR72,,247946.0
2020-07-26 19:26,Saldo Penjual,99.0,Penghasilan dari Pesanan #20072484FM5374,,144696.0
2020-07-23 03:03,Saldo Penjual,396.0,Penghasilan dari Pesanan #200720TXK4UNFY,,144597.0
2020-07-22 20:47,Saldo Penjual,15000.0,Penghasilan dari Pesanan #200721W0T51UUK,,144201.0
2020-07-22 04:22,Saldo Penjual,99.0,Penghasilan dari Pesanan #200718NJAMRV9J,,129201.0
2020-07-19 17:43,Saldo Penjual,104625.0,Penghasilan dari Pesanan #200715DUUDVDRY,,129102.0
2020-07-19 03:59,Saldo Penjual,2315.0,Penghasilan dari Pesanan #2007126UUNV429,,24477.0
2020-07-15 03:53,Saldo Penjual,1123.0,Penghasilan dari Pesanan #200709VN7EBFBJ,,22162.0
2020-07-15 03:46,Saldo Penjual,99.0,Penghasilan dari Pesanan #20071014RK9U9D,,21039.0
2020-07-15 00:03,Saldo Penjual,20940.0,Penghasilan dari Pesanan #2007126T2HK71Q,,20940.0
2020-07-13 10:48,Bank,-52295.0,Penarikan Dana,Transaksi Selesai,0.0
2020-07-11 16:38,Saldo Penjual,99.0,Penghasilan dari Pesanan #200707Q6SJC01M,,52295.0
2020-07-10 04:27,Saldo Penjual,4550.0,Penghasilan dari Pesanan #200703CW1UYUKG,,52196.0
2020-07-09 03:34,Saldo Penjual,99.0,Penghasilan dari Pesanan #200702BP5QR0NU,,47646.0
2020-07-08 03:47,Saldo Penjual,297.0,Penghasilan dari Pesanan #200704FEY4FVR9,,47547.0
2020-07-08 03:17,Saldo Penjual,17500.0,Penghasilan dari Pesanan #200703DTXTHYM5,,47250.0
2020-07-06 20:02,Saldo Penjual,29750.0,Penghasilan dari Pesanan #200704EHBJMNAW,,29750.0
