Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,52578.0
Tanggal:,2023-12-01-2023-12-31,,Jumlah transaksi:,56,Jumlah transaksi:,15,,Akhir:,0.0
,,,Total:,4612836.0,Total:,4665414.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo,
2023-12-31 22:02,Bank,-253532.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-12-31 04:28,Saldo Penjual,154175.0,Penghasilan dari Pesanan #23122553233HNU,,253532.0,
2023-12-30 15:01,Saldo Penjual,15845.0,Penghasilan dari Pesanan #231229FC3DVVMJ,,99357.0,
2023-12-30 11:52,Saldo Penjual,50199.0,Penghasilan dari Pesanan #231228D0DT5N0P,,83512.0,
2023-12-30 03:45,Saldo Penjual,4577.0,Penghasilan dari Pesanan #231223VMSE4RTJ,,33313.0,
2023-12-30 02:19,Saldo Penjual,28736.0,Penghasilan dari Pesanan #2312266FRQ928Q,,28736.0,
2023-12-28 22:45,Bank,-1085084.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-12-28 17:07,Saldo Penjual,50657.0,Penghasilan dari Pesanan #2312267NDN9F5K,,1085084.0,
2023-12-28 04:35,Saldo Penjual,40525.0,Penghasilan dari Pesanan #231220P9K2KSJ7,,1034427.0,
2023-12-27 20:06,Saldo Penjual,50657.0,Penghasilan dari Pesanan #2312267X35W1AU,,993902.0,
2023-12-27 17:04,Saldo Penjual,942100.0,Penghasilan dari Pesanan #2312243MVKQ44U,,943245.0,
2023-12-27 07:20,Saldo Penjual,1145.0,Penghasilan dari Pesanan #2312242FVCFF6S,,1145.0,
2023-12-26 23:37,Bank,-473053.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-12-26 13:11,Saldo Penjual,301302.0,Penghasilan dari Pesanan #231221RU3VFD56,,473053.0,
2023-12-26 04:07,Saldo Penjual,171751.0,Penghasilan dari Pesanan #231221RE2EB9WE,,171751.0,
2023-12-25 20:14,Bank,-47243.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-12-25 02:31,Saldo Penjual,15744.0,Penghasilan dari Pesanan #231220P1NX48JM,,47243.0,
2023-12-24 21:20,Saldo Penjual,31499.0,Penghasilan dari Pesanan #231214707YNUS1,,31499.0,
2023-12-22 21:40,Bank,-210722.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-12-22 21:31,Saldo Penjual,125005.0,Penghasilan dari Pesanan #231219KBRWB90S,,210722.0,
2023-12-22 18:08,Saldo Penjual,4454.0,Penghasilan dari Pesanan #231221QX8CY7UM,,85717.0,
2023-12-22 14:53,Saldo Penjual,26677.0,Penghasilan dari Pesanan #231221RBG3B02X,,81263.0,
2023-12-22 02:07,Saldo Penjual,4577.0,Penghasilan dari Pesanan #231210TKM7HHK2,,54586.0,
2023-12-21 04:04,Saldo Penjual,40525.0,Penghasilan dari Pesanan #231216BS1EBY96,,50009.0,
2023-12-21 03:09,Saldo Penjual,9484.0,Penghasilan dari Pesanan #23121591W2NG2Q,,9484.0,
2023-12-20 21:10,Bank,-582372.0,Penarikan Dana,Transaksi Selesai,0.0,
