Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,23926.0
Tanggal:,2023-03-01-2023-03-31,,Jumlah transaksi:,62,Jumlah transaksi:,13,,Akhir:,4097.0
,,,Total:,2935430.0,Total:,2955259.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo
2023-03-29 20:25,Saldo Penjual,2382.0,Penghasilan dari Pesanan #230325D555VGEX,,4097.0
2023-03-29 04:24,Saldo Penjual,1715.0,Penghasilan dari Pesanan #2303237U4HYC4D,,1715.0
2023-03-28 22:30,Bank,-234700.0,Penarikan Dana,Transaksi Selesai,0.0
2023-03-28 13:46,Saldo Penjual,5265.0,Penghasilan dari Pesanan #230325BSEA9RD5,,234700.0
2023-03-28 10:25,Saldo Penjual,123890.0,Penghasilan dari Pesanan #230324APA007J6,,229435.0
2023-03-28 03:36,Saldo Penjual,9530.0,Penghasilan dari Pesanan #230320V7422YHG,,105545.0
2023-03-28 02:23,Saldo Penjual,2573.0,Penghasilan dari Pesanan #230322574PYW4Y,,96015.0
2023-03-27 09:31,Saldo Penjual,46459.0,Penghasilan dari Pesanan #230325C3XNH1UK,,93442.0
2023-03-27 08:52,Saldo Penjual,3431.0,Penghasilan dari Pesanan #230325BFM0VXQY,,46983.0
2023-03-27 05:17,Saldo Penjual,42408.0,Penghasilan dari Pesanan #2303237B3Q53F4,,43552.0
2023-03-26 21:35,Saldo Penjual,1144.0,Penghasilan dari Pesanan #230325CJJ01CK4,,1144.0
2023-03-26 20:00,Bank,-274178.0,Penarikan Dana,Transaksi Selesai,0.0
2023-03-26 18:21,Saldo Penjual,3431.0,Penghasilan dari Pesanan #23032375TCAAKW,,274178.0
2023-03-26 16:55,Saldo Penjual,85770.0,Penghasilan dari Pesanan #230315GK3SE56Q,,270747.0
2023-03-26 06:45,Saldo Penjual,2573.0,Penghasilan dari Pesanan #2303236JG795KV,,184977.0
2023-03-25 16:57,Saldo Penjual,2287.0,Penghasilan dari Pesanan #2303248U28R5FV,,182404.0
2023-03-25 14:56,Saldo Penjual,180117.0,Penghasilan dari Pesanan #2303236C6Y32FS,,180117.0
2023-03-25 13:19,Bank,-372528.0,Penarikan Dana,Transaksi Selesai,0.0
2023-03-24 17:00,Saldo Penjual,1144.0,Penghasilan dari Pesanan #2303236JP429RV,,372528.0
2023-03-24 02:06,Saldo Penjual,6862.0,Penghasilan dari Pesanan #230320VDRNJEX1,,371384.0
2023-03-23 23:12,Saldo Penjual,364522.0,Penghasilan dari Pesanan #2303212DPG4XVP,,364522.0
2023-03-23 17:51,Bank,-350479.0,Penarikan Dana,Transaksi Selesai,0.0
2023-03-23 15:15,Saldo Penjual,37167.0,Penghasilan dari Pesanan #2303212URXVNFP,,350479.0
2023-03-23 02:49,Saldo Penjual,90487.0,Penghasilan dari Pesanan #230316JV0UUBSM,,313312.0
2023-03-21 12:39,Saldo Penjual,30972.0,Penghasilan dari Pesanan #230315GAAPDB4X,,222825.0
2023-03-21 04:29,Saldo Penjual,643.0,Penghasilan dari Pesanan #230316JW947U2M,,191853.0
2023-03-21 02:51,Saldo Penjual,96863.0,Penghasilan dari Pesanan #230315G3SVXF7Q,,191210.0
2023-03-19 21:12,Saldo Penjual,76621.0,Penghasilan dari Pesanan #230317NCC6UVPD,,94347.0
2023-03-19 15:41,Saldo Penjual,6862.0,Penghasilan dari Pesanan #2303129AE9WU9F,,17726.0
2023-03-19 04:11,Saldo Penjual,10864.0,Penghasilan dari Pesanan #230316JQDDXVUB,,10864.0
2023-03-18 23:47,Bank,-139042.0,Penarikan Dana,Transaksi Selesai,0.0
2023-03-18 23:47,Saldo Penjual,12865.0,Penghasilan dari Pesanan #230317MBBWRRA7,,139042.0
2023-03-18 23:16,Saldo Penjual,2287.0,Penghasilan dari Pesanan #230315G8YXSCEX,,126177.0
2023-03-18 03:23,Saldo Penjual,123890.0,Penghasilan dari Pesanan #230314DMM4H5WT,,123890.0
2023-03-16 20:44,Bank,-25805.0,Penarikan Dana,Transaksi Selesai,0.0
2023-03-16 05:06,Saldo Penjual,15911.0,Penghasilan dari Pesanan #23031293NJRTRY,,25805.0
2023-03-16 02:32,Saldo Penjual,5718.0,Penghasilan dari Pesanan #230310466V45X4,,9894.0
2023-03-16 02:13,Saldo Penjual,4176.0,Penghasilan dari Pesanan #2303116FPBX4UT,,4176.0
2023-03-15 23:30,Bank,-994740.0,Penarikan Dana,Transaksi Selesai,0.0
2023-03-15 16:22,Saldo Penjual,92917.0,Penghasilan dari Pesanan #23031287X4B2TN,,994740.0
2023-03-15 14:51,Saldo Penjual,293333.0,Penghasilan dari Pesanan #230313AAWGK06T,,901823.0
2023-03-15 04:21,Saldo Penjual,595625.0,Penghasilan dari Pesanan #2303091EXT8B8F,,608490.0
2023-03-14 10:10,Saldo Penjual,12865.0,Penghasilan dari Pesanan #2303103YFEY8Y8,,12865.0
2023-03-13 15:43,Bank,-83130.0,Penarikan Dana,Transaksi Selesai,0.0
2023-03-13 04:03,Saldo Penjual,67901.0,Penghasilan dari Pesanan #230307SMNQ5E50,,83130.0
2023-03-13 02:26,Saldo Penjual,1191.0,Penghasilan dari Pesanan #230308UR7Y407Q,,15229.0
2023-03-13 02:06,Saldo Penjual,457.0,Penghasilan dari Pesanan #230308U9291SFV,,14038.0
2023-03-12 17:43,Saldo Penjual,11436.0,Penghasilan dari Pesanan #2303115YKTPWPE,,13581.0
2023-03-12 03:37,Saldo Penjual,1287.0,Penghasilan dari Pesanan #230306P1PM1C3D,,2145.0
2023-03-11 16:34,Saldo Penjual,858.0,Penghasilan dari Pesanan #23031030R98GPV,,858.0
2023-03-11 13:54,Bank,-133258.0,Penarikan Dana,Transaksi Selesai,0.0
2023-03-11 03:27,Saldo Penjual,515.0,Penghasilan dari Pesanan #230305JTQXE6HD,,133258.0
2023-03-09 11:17,Saldo Penjual,96863.0,Penghasilan dari Pesanan #230306PCNHME6G,,132743.0
2023-03-09 09:53,Saldo Penjual,27875.0,Penghasilan dari Pesanan #230305M2BJ0WPC,,35880.0
2023-03-08 13:10,Saldo Penjual,2287.0,Penghasilan dari Pesanan #230304G90Y7V23,,8005.0
