Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,23365.0
Tanggal:,2023-11-01-2023-11-30,,Jumlah transaksi:,67,Jumlah transaksi:,19,,Akhir:,52578.0
,,,Total:,7325357.0,Total:,7296144.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo,
2023-11-30 23:09,Saldo Penjual,52578.0,Penghasilan dari Pesanan #231122A4CM9FQP,,52578.0,
2023-11-30 21:19,Bank,-64009.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-11-30 08:00,Saldo Penjual,16182.0,Penghasilan dari Pesanan #231123CWPW88NN,,64009.0,
2023-11-30 05:07,Saldo Penjual,47827.0,Penghasilan dari Pesanan #231124E65W8K40,,47827.0,
2023-11-29 23:30,Bank,-68712.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-11-29 13:48,Saldo Penjual,16434.0,Penghasilan dari Pesanan #231125FWYBUNHF,,68712.0,
2023-11-29 03:58,Saldo Penjual,1078.0,Penghasilan dari Pesanan #231124FBKDU0KN,,52278.0,
2023-11-28 10:29,Saldo Penjual,44949.0,Penghasilan dari Pesanan #231125H2X1H361,,51200.0,
2023-11-28 02:10,Saldo Penjual,6251.0,Penghasilan dari Pesanan #2311217DDQ370X,,6251.0,
2023-11-27 23:55,Bank,-140136.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-11-27 08:48,Saldo Penjual,140136.0,Penghasilan dari Pesanan #231123BSFXT14W,,140136.0,
2023-11-26 22:17,Bank,-28760.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-11-26 04:13,Saldo Penjual,28760.0,Penghasilan dari Pesanan #2311205DQ229BE,,28760.0,
2023-11-25 20:32,Bank,-366702.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-11-25 13:15,Saldo Penjual,256215.0,Penghasilan dari Pesanan #2311204W0QM384,,366702.0,
2023-11-25 02:24,Saldo Penjual,110487.0,Penghasilan dari Pesanan #23112041EJURAM,,110487.0,
2023-11-24 22:27,Bank,-1651706.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-11-24 18:29,Saldo Penjual,595660.0,Penghasilan dari Pesanan #2311229D2JY0XX,,1651706.0,
2023-11-24 13:35,Saldo Penjual,40109.0,Penghasilan dari Pesanan #2311217K2SMCYA,,1056046.0,
2023-11-24 10:19,Saldo Penjual,988900.0,Penghasilan dari Pesanan #2311203Y8GSAQ3,,1015937.0,
2023-11-24 04:32,Saldo Penjual,9058.0,Penghasilan dari Pesanan #2311190U95X7JY,,27037.0,
2023-11-24 02:29,Saldo Penjual,17979.0,Penghasilan dari Pesanan #231116Q9AM16EB,,17979.0,
2023-11-23 21:16,Bank,-35958.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-11-22 20:35,Saldo Penjual,35958.0,Penghasilan dari Pesanan #231118VGM6ACA6,,35958.0,
2023-11-22 19:06,Bank,-708317.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-11-22 16:52,Saldo Penjual,103385.0,Penghasilan dari Pesanan #2311204XVV5CJQ,,708317.0,
